day_avg_dwell,day_of_week,lat,long,off,on,route,stop_name,total,trip_avg_dwell,unique_stop_number
10.9,WEEKDAY,39.946321,-82.9056,38,18,23,E LIVINGSTON AVE & BARNE,56,0.2,1946
21.7,WEEKDAY,39.946104,-82.901879,80,17,1,E LIVINGSTON AVE & CUNAR,96,0.3,1947
2.1,WEEKDAY,39.960654,-82.981301,4,2,11,BRYDEN RD & PARSONS AVE,6,0.1,2068
1.1,WEEKDAY,39.960622,-82.978648,2,2,11,BRYDEN RD & S MONROE AVE,4,0.1,2069
1.7,WEEKDAY,39.960568,-82.975616,4,1,11,BRYDEN RD & S 18TH ST,5,0.1,2070
1.6,WEEKDAY,39.960454,-82.969034,3,1,11,BRYDEN RD & S CHAMPION A,4,0.1,2073
0.3,WEEKDAY,39.960415,-82.966601,1,0,11,BRYDEN RD & WILSON AVE,1,0.0,2074
9.1,WEEKDAY,39.948689,-82.948954,11,14,1,E LIVINGSTON AVE & RHOAD,24,0.1,1998
21.7,WEEKDAY,39.948917,-82.953442,17,34,1,E LIVINGSTON AVE & FAIRW,52,0.3,1999
14.9,WEEKDAY,39.949134,-82.957893,23,43,1,E LIVINGSTON AVE & LILLE,66,0.2,2002
20.5,WEEKDAY,39.949384,-82.962855,14,41,1,E LIVINGSTON AVE & LOCKB,55,0.3,2005
13.0,WEEKDAY,39.949597,-82.967594,14,20,1,E LIVINGSTON AVE & WILSO,34,0.2,2006
0.6,WEEKDAY,39.960476,-82.969079,1,2,11,BRYDEN RD & S CHAMPION A,3,0.0,2087
1.5,WEEKDAY,39.960509,-82.97088,1,3,11,BRYDEN RD & S OHIO AVE,4,0.1,2088
1.6,WEEKDAY,39.960656,-82.978916,1,3,11,BRYDEN RD & S MONROE AVE,4,0.1,2091
3.1,WEEKDAY,39.960702,-82.981754,1,4,11,BRYDEN RD & PARSONS AVE,6,0.2,2092
1.3,WEEKDAY,39.960637,-82.983684,1,2,11,E TOWN ST & LESTER DR,3,0.1,2093
32.5,WEEKDAY,39.945384,-82.887142,10,70,1,E LIVINGSTON AVE & S YEA,80,0.4,1976
6.5,WEEKDAY,39.945632,-82.891486,4,14,1,E LIVINGSTON AVE & ELDER,18,0.1,1977
